"filename", "language", "C#", "comment", "blank", "total"
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IExPanelToProCreateConnSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IExPanelToProCreateInterReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IExPanelToProCreateInterSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IExPanelToProCreateNodeReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IExPanelToProCreateNodeSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IExPanelToProDeleteNodeReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IExPanelToProDeleteNodeSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IExPanelToProTryConnReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IExPanelToProTryConnSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IInDCToExPanelReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IInDCToExPanelSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IInDeleteToExPanelReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IInDeleteToExPanelSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IInExportToProExportReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IInExportToProExportSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IInMouseToExPanelReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IInMouseToExPanelSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IInMoveToProMoveReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IInMoveToProMoveSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IInRCToExPanelReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IInRCToExPanelSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IInRenameToProRenameReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IInRenameToProRenameSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IInSelectToExPanelReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IInSelectToExPanelSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IInstanceRenameable.cs", "C#", 7, 0, 2, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IModelMoveable.cs", "C#", 7, 0, 2, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IModelRenameable.cs", "C#", 7, 0, 2, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\INodeToInMoveSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\INodeToInRenameReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\INodeToInSelectReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProCreateConnToDBCrtReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProCreateConnToDBCrtSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProCreateConnToDBGetReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProCreateConnToDBGetSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProCreateConnToOutCreateConnReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProCreateConnToOutCreateConnSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProCreateInterToOutCreateInterReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProCreateInterToOutCreateInterSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProCreateNodeToOutCreateNodeReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProCreateNodeToOutCreateNodeSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProDeleteNodeToDBDelReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProDeleteNodeToDBDelSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProDeleteNodeToOutDeleteReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProDeleteNodeToOutDeleteSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProExportToOutExportReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProExportToOutExportSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProMoveToDBSetSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProMoveToOutMoveReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProMoveToOutMoveSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProRenameToDBSetReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProRenameToDBSetSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProRenameToOutRenameReceiver.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Interfaces\IProRenameToOutRenameSender.cs", "C#", 8, 0, 1, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\JsonLoader.cs", "C#", 42, 0, 3, 45
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Main\Main.cs", "C#", 171, 3, 3, 177
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\NodeModelLegacy.cs", "C#", 11, 0, 2, 13
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Others\InitMan.cs", "C#", 107, 0, 1, 108
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Program.cs", "C#", 7, 0, 2, 9
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\ProgramClass.cs", "C#", 98, 13, 11, 122
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\ProgramClassDB.cs", "C#", 221, 0, 10, 231
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\ProgramEditorClass.cs", "C#", 65, 1, 4, 70
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\ProgramEnum.cs", "C#", 34, 0, 4, 38
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\ProgramIMB.cs", "C#", 14, 0, 1, 15
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\ProgramInstance.cs", "C#", 62, 0, 5, 67
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\ProgramInterface.cs", "C#", 46, 0, 5, 51
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\ProgramInterfaceIns.cs", "C#", 23, 0, 4, 27
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\ProgramMainClass.cs", "C#", 75, 0, 4, 79
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\ProgramSaver.cs", "C#", 179, 2, 14, 195
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\ProgramStruct.cs", "C#", 72, 0, 8, 80
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\ProgramUpdater.cs", "C#", 32, 0, 2, 34
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Project.cs", "C#", 29, 0, 4, 33
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\ConnInf.cs", "C#", 16, 0, 2, 18
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\ConnModel.cs", "C#", 28, 0, 6, 34
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\DBCreateRequest.cs", "C#", 12, 0, 2, 14
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\DBDelRequest.cs", "C#", 12, 0, 2, 14
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\DBGetRequest.cs", "C#", 14, 0, 2, 16
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\DBGetResult.cs", "C#", 20, 0, 3, 23
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\DBSetRequest.cs", "C#", 14, 0, 2, 16
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\DeleteInf.cs", "C#", 12, 0, 2, 14
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\ExportInf.cs", "C#", 12, 0, 2, 14
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\FinalExportInf.cs", "C#", 14, 0, 2, 16
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\FinalSaveInf.cs", "C#", 17, 0, 3, 20
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\InterInf.cs", "C#", 14, 0, 2, 16
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\InterModel.cs", "C#", 26, 0, 6, 32
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\LoadInf.cs", "C#", 13, 0, 3, 16
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\MoveInf.cs", "C#", 14, 0, 2, 16
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\MyVector2.cs", "C#", 29, 0, 3, 32
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\MyVector3.cs", "C#", 23, 0, 2, 25
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\NodeInf.cs", "C#", 14, 0, 2, 16
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\NodeModel.cs", "C#", 32, 0, 7, 39
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\RenameInf.cs", "C#", 14, 0, 2, 16
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\SaveInf.cs", "C#", 15, 0, 3, 18
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\SelectInf.cs", "C#", 74, 0, 11, 85
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Structs\TryConnInf.cs", "C#", 27, 0, 2, 29
"d:\Unity Projects\Origin\Program Maker\Assets\Scripts\Util.cs", "C#", 14, 0, 2, 16
"Total", "-", 4583, 105, 373, 5061
